Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
binary_combined_tfidf,Hierarchical,<0.001,2,10579,1.432,Chromatin & Development,46.13,Multifunctional DOF Regulation,45.58,Vascular Development,5.37
binary_combined_tfidf,Hierarchical,<0.001,3,3205,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_combined_tfidf,Hierarchical,<0.001,4,13637,2.707,Multifunctional DOF Regulation,34.16,Chromatin & Development,26.75,Circadian & Flowering,12.94
strand_count_1gram_tfidf,KMeans,<0.001,0,16158,2.46,Multifunctional DOF Regulation,36.43,Chromatin & Development,32.3,Vascular Development,11.0
strand_count_1gram_tfidf,KMeans,<0.001,1,3826,1.315,Chromatin & Development,64.25,Multifunctional DOF Regulation,29.36,Vascular Development,3.0
strand_count_1gram_tfidf,KMeans,<0.001,2,2443,1.309,Chromatin & Development,59.45,Multifunctional DOF Regulation,35.27,Vascular Development,2.6
strand_count_1gram_tfidf,KMeans,<0.001,3,4350,0.986,Multifunctional DOF Regulation,77.74,Chromatin & Development,18.41,Vascular Development,2.18
strand_count_1gram_tfidf,KMeans,<0.001,4,4518,0.993,Multifunctional DOF Regulation,78.1,Chromatin & Development,17.24,Vascular Development,2.99
strand_count_1gram_tfidf,Hierarchical,<0.001,0,6135,1.305,Multifunctional DOF Regulation,48.27,Chromatin & Development,44.78,Vascular Development,6.82
strand_count_1gram_tfidf,Hierarchical,<0.001,1,6057,1.188,Multifunctional DOF Regulation,50.57,Chromatin & Development,46.21,Vascular Development,2.98
strand_count_1gram_tfidf,Hierarchical,<0.001,2,15054,2.424,Multifunctional DOF Regulation,39.47,Chromatin & Development,30.78,Inflorescence Development,9.72
strand_count_1gram_tfidf,Hierarchical,<0.001,3,2206,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count_1gram_tfidf,Hierarchical,<0.001,4,1843,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count_2gram_tfidf,KMeans,<0.001,0,25800,1.733,Multifunctional DOF Regulation,53.93,Chromatin & Development,32.82,Vascular Development,5.57
strand_count_2gram_tfidf,KMeans,<0.001,1,1377,1.13,Chromatin & Development,68.64,Multifunctional DOF Regulation,27.8,Vascular Development,1.59
strand_count_2gram_tfidf,KMeans,<0.001,2,1758,0.89,Multifunctional DOF Regulation,81.46,Chromatin & Development,15.02,Vascular Development,2.02
strand_count_2gram_tfidf,KMeans,<0.001,3,929,1.285,Multifunctional DOF Regulation,53.17,Chromatin & Development,42.81,Vascular Development,1.81
strand_count_2gram_tfidf,KMeans,<0.001,4,1431,1.152,Chromatin & Development,66.37,Multifunctional DOF Regulation,30.08,Vascular Development,1.95
strand_count_2gram_tfidf,Hierarchical,<0.001,0,28289,1.581,Multifunctional DOF Regulation,50.58,Chromatin & Development,40.47,Vascular Development,2.8
strand_count_2gram_tfidf,Hierarchical,<0.001,1,1925,1.277,Multifunctional DOF Regulation,67.75,Chromatin & Development,17.14,Vascular Development,14.52
strand_count_2gram_tfidf,Hierarchical,<0.001,2,360,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_count_2gram_tfidf,Hierarchical,<0.001,3,373,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
strand_count_2gram_tfidf,Hierarchical,<0.001,4,348,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
strand_count_3gram_tfidf,KMeans,<0.001,0,30488,1.589,Multifunctional DOF Regulation,50.92,Chromatin & Development,39.59,Vascular Development,3.89
